target,date,oifits_h,oifits_k,teff,logg,feh,mass,theta_init,theta_CLV_Stagger,theta_CLV_Stagger_err,v2_0_CLV_Stagger,v2_0_CLV_Stagger_err,chi2_red_CLV_Stagger,theta_CLV_Kurucz,theta_CLV_Kurucz_err,v2_0_CLV_Kurucz,v2_0_CLV_Kurucz_err,chi2_red_CLV_Kurucz,theta_CLV_MPS1,theta_CLV_MPS1_err,v2_0_CLV_MPS1,v2_0_CLV_MPS1_err,chi2_red_CLV_MPS1,theta_CLV_MPS2,theta_CLV_MPS2_err,v2_0_CLV_MPS2,v2_0_CLV_MPS2_err,chi2_red_CLV_MPS2
ups_Per,2025Jul20,MIRCX_L2.2025Jul20.ups_Per.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.ups_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,4374.0,2.06,0.05,1.75,3.0,3.618492312384243,0.002959108781456221,1.1021779601706485,0.007656687357733505,3.4300585998535356,3.6333921109434613,0.0025964849898327813,1.120033384983386,0.010233011953520221,3.5138172646269035,3.6301103031438338,0.0032767310443220232,1.1174260847850492,0.008911795106058218,3.3852580909797667,3.6300526371900537,0.0023982231637473816,1.1165789476128858,0.010337818340357074,3.3940042700403756
ups_Per,2025Jul22,MIRCX_L2.2025Jul22.ups_Per.MIRCX_IDL.2025Jul23.AVG15m.oifits,MYSTIC_L2.2025Jul22.ups_Per.MIRCX_IDL.2025Jul24.AVG15m.oifits,4374.0,2.06,0.05,1.75,3.0,3.6107981027942726,0.003279081327581812,0.9023087972404651,0.009976004510181546,3.297528227043982,3.6263212451625844,0.0032467236994573323,0.9166485355642034,0.011309333080794015,3.43598781617362,3.6243408178407504,0.002884086228367222,0.9165238439065508,0.011813001470343643,3.339366742531176,3.6248992186506355,0.0032797509039435013,0.91376594445563,0.010136711659700426,3.34637217143079
11_Lac,2025Jul25,MIRCX_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,4310.0,1.93,-0.2,1.38,3.0,2.6371250489738394,0.0021234872134243687,0.9728303610481421,0.008848658761282768,1.3193206937197826,2.6496239102959267,0.002897386372387567,0.9797406593240743,0.009931905577504563,1.381904918568552,2.648758879818459,0.0021660418781563884,0.9800408432148231,0.011282851597004206,1.3459113258797337,2.6488753318259106,0.001751188211082999,0.9750655462824744,0.00968715656585517,1.3492295580075604
alf_Cas,2025Jul20,MIRCX_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul25.AVG15m.oifits,4625.0,1.19,-0.1,3.98,5.0,5.6675435964175005,0.004071217368177837,1.0815654109820085,0.012367611887642682,8.382545429994476,5.674000607268732,0.004557544347015607,1.0866551322190174,0.014086520741325992,8.444927748955271,5.67552337922448,0.003203209191568579,1.0878883322033872,0.015141564089257487,8.39518448492632,5.675325566432123,0.004277323977174952,1.0885164279342372,0.00998828550933395,8.39803672400013
HD_220369,2025Jul25,MIRCX_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul26.AVG15m.oifits,4131.0,1.24,0.11,1.5,3.0,2.5607207327795756,0.0013266680308989809,0.9697938751546802,0.005496738589424732,0.8922847389493587,2.560465920259076,0.0015288579188117435,0.9678494053781039,0.00740829071951693,0.9607467733796317,2.5628741223479112,0.0015722037335006434,0.9698061704715772,0.0073285443296678965,0.931600039085926,2.5628347097625648,0.0018085677226085117,0.9701498755636409,0.008441765097599863,0.9330687994448271
109_Her,2025Jun05,MIRCX_L2.2025Jun05.109_Her.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.109_Her.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,4387.0,2.24,-0.06,1.05,3.0,2.9979739365897267,0.005276379468070136,0.9887404167329845,0.013070274184248776,1.9122082806406133,3.0042031253257018,0.004391826679018385,0.9997597749161883,0.01774814898087218,1.881536061762715,3.0070647462277655,0.004558492249760127,1.000176857418339,0.013277912052492347,1.7424801860668262,3.006274989933406,0.00572605939783255,1.0039880672842063,0.013536434077901671,1.7497232506533693
alf_Vul,2025Jun04,MIRCX_L2.2025Jun04.alf_Vul.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.alf_Vul.MIRCX_IDL.2025Jun05.AVG10m.oifits,3690.0,1.3,-0.38,0.97,4.0,4.3538041988452365,0.007638729987559767,1.131874380395164,0.019375578701528395,2.2908602543393126,4.3232932460095395,0.007088910130558457,1.1000343887743518,0.015953413265378136,2.561984342287344,4.366668398882752,0.0064285718786867285,1.143131201266288,0.018718685787189493,2.6883005766567054,4.3643197593182474,0.006465068760115766,1.1343466991287197,0.0203694085392242,2.650113094072656
alf_Per,2025Jul25,MIRCX_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul26.AVG15m.oifits,6193.0,1.02,0.14,7.3,3.0,3.2228650271996186,0.001796124612120087,1.0284064381372922,0.00502395120991217,1.4910199285847363,3.2307313159623314,0.0021795350707103367,1.0337234275705636,0.0049427126830368096,1.4868974990340584,3.2246490105470684,0.002852171826958072,1.0294904404408305,0.004693739764424554,1.4898445959504187,3.225185048052764,0.0020484430705851597,1.0311460391760923,0.005677757842152631,1.4812514670483898
alf_Per,2025Aug27,MIRCX_L2.2025Aug27.alf_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.alf_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,6193.0,1.02,0.14,7.3,2.5,3.2230595849164616,0.0022254448722396347,0.992300996099691,0.008310125628863463,4.071578531989937,3.230244942606931,0.0037450364866464803,0.9948641225769084,0.009983761238635036,4.159461425183547,3.224004940149783,0.0029677571316777396,0.9913817446803023,0.009715264906518584,4.0683083268637565,3.2253161883259858,0.0042951008116347555,0.9931518114118143,0.013066091077287123,4.068129640321514
bet_Dra,2025Jul20,MIRCX_L2.2025Jul20.bet_Dra.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.bet_Dra.MIRCX_IDL.2025Jul25.AVG15m.oifits,5184.0,1.66,0.06,6.0,3.0,3.365833463239175,0.0027926549086523256,1.053403531455743,0.012626016427285336,3.6556976875544493,3.377274222842396,0.002027252016117087,1.0603492630583933,0.013041759404055608,3.8035828580325046,3.3734650684053014,0.002291287520435503,1.062024887817317,0.013066825523667225,3.729011015435924,3.373916730699274,0.0022846977850516925,1.0545183840710735,0.010872615606212666,3.7377565572765152
